,P,Q,AIC,BIC,MAPE_train,MAE_test,MAPE_test,MAE_test
0,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
1,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
2,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
3,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
4,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
5,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
6,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
7,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
8,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
9,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
10,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
11,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
12,3,6,50917.69710806785,50986.020433047575,26.556703263721076,167.0327075594457,19.905056225091265,167.0327075594457
