,0,1,2,3
0,0,0,70901.65283818732,70907.84402419196
1,0,1,66610.47280611243,66622.85517812172
2,0,2,63525.600832558586,63544.174390572516
3,0,3,61713.58595751133,61738.3507015299
4,0,4,63857.6603967181,63888.616326741314
5,0,5,62675.12856992072,62712.27568594858
6,0,6,62759.59196057951,62802.93026261201
7,1,0,55171.7415339165,55184.123905925786
8,1,1,54957.192906561366,54975.766464575296
9,1,2,54948.86876881038,54973.63351282895
10,1,3,54909.60755858351,54940.56348860673
11,1,4,54876.72859602706,54913.87571205492
12,1,5,54882.24732307583,54925.58562510833
13,1,6,54879.55919772678,54929.08868576393
14,2,0,54954.66176054449,54973.23531855842
15,2,1,54951.4897506821,54976.25449470067
16,2,2,54914.23600916285,54945.191939186065
17,2,3,54890.69229904119,54927.83941506905
18,2,4,54878.831779075015,54922.17008110751
19,2,5,54880.79479531668,54930.324283353824
20,2,6,54881.952583019134,54937.67325706092
21,3,0,54948.82784701949,54973.59259103806
22,3,1,54949.53615374655,54980.492083769765
23,3,2,54880.97338675111,54918.12050277897
24,3,3,54882.67122907691,54926.009531109405
25,3,4,54877.840592002765,54927.37008003991
26,3,5,54880.83666768079,54936.557341722575
27,3,6,54736.14020479766,54798.05206484409
28,4,0,54943.59662900388,54974.55255902709
29,4,1,54921.60895438454,54958.7560704124
30,4,2,54882.50380292817,54925.84210496067
31,4,3,54879.96920090818,54929.49868894532
32,4,4,54878.70057580479,54934.42124984657
33,4,5,54834.178215127235,54896.09007517366
34,4,6,54881.70475214119,54949.80779819226
35,5,0,54892.882207843155,54930.029323871015
36,5,1,54892.61225825914,54935.95056029164
37,5,2,54883.632958133785,54933.16244617093
38,5,3,54879.58597572469,54935.30664976647
39,5,4,54881.54825706512,54943.46011711155
40,5,5,54795.938741989215,54864.04178804029
41,5,6,54807.02073565617,54881.314967711885
42,6,0,54892.373128584586,54935.711430617084
43,6,1,54894.028559722734,54943.55804775988
44,6,2,54845.765219050656,54901.48589309244
45,6,3,54827.29973406213,54889.21159410856
46,6,4,54828.76330884935,54896.86635490043
47,6,5,54824.48162088782,54898.77585294353
48,6,6,54810.91791510184,54891.4033331622
