,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,1/4/13,2776,0.00,56.10,34.10,-0.70,158.00,
1,2/4/13,3034,0.00,61.00,34.10,0.90,256.00,
2,3/4/13,2991,0.00,62.10,33.10,-1.10,202.00,
3,4/4/13,3125,0.00,62.00,37.70,-2.70,206.00,
4,5/4/13,3160,0.00,63.00,42.00,-2.60,167.00,
5,6/4/13,3153,0.00,64.60,43.50,-2.70,93.00,
6,7/4/13,3055,0.00,62.60,40.30,-2.50,30.00,
7,8/4/13,2993,0.00,60.10,37.20,-1.80,47.00,
8,9/4/13,3328,60.00,68.40,37.20,-1.20,510.00,
9,10/4/13,3314,226.00,69.90,42.80,-0.50,254.00,
10,11/4/13,3513,0.00,72.70,46.70,-0.90,167.00,
11,12/4/13,3491,0.00,74.70,47.30,-0.90,149.00,
12,13/04/13,3511,221.00,73.10,46.00,-0.80,259.00,
13,14/04/13,3153,0.00,67.50,49.40,-8.60,0.00,
14,15/04/13,3180,0.00,68.60,49.40,-5.70,0.00,
15,16/04/13,3558,0.00,75.30,53.40,-3.70,308.00,
16,17/04/13,3646,0.00,78.60,54.60,-2.50,94.00,
17,18/04/13,3658,0.00,78.40,56.00,-3.30,29.00,
18,19/04/13,3751,0.00,78.60,57.90,-3.80,82.00,
19,20/04/13,3534,0.00,76.30,56.80,-3.30,47.00,
20,21/04/13,3592,0.00,76.50,57.20,-4.30,36.00,
21,22/04/13,3247,0.00,71.10,52.80,-2.50,99.00,
22,23/04/13,3535,0.00,74.00,55.80,-3.40,21.00,
23,24/04/13,3601,0.00,77.10,54.70,-3.70,32.00,
24,25/04/13,3692,0.00,78.40,53.90,-3.20,6.00,
25,26/04/13,3937,0.00,83.40,58.10,-3.20,144.00,
26,27/04/13,3871,0.00,83.60,58.90,-2.50,45.00,
27,28/04/13,3570,0.00,79.20,51.30,-1.70,227.00,
28,29/04/13,3497,0.00,74.50,48.00,-4.50,0.00,
29,30/04/13,3880,3.00,81.60,54.70,-2.50,254.00,
30,1/5/13,4126,0.00,86.10,57.60,-1.40,164.00,
31,2/5/13,3853,0.00,82.70,56.10,-5.00,0.00,
32,3/5/13,3918,0.00,83.50,55.30,-4.00,125.00,
33,4/5/13,3931,0.00,85.30,57.30,-3.30,81.00,
34,5/5/13,3930,0.00,83.30,58.00,-2.70,67.00,
35,6/5/13,4013,0.00,80.80,54.70,-2.70,171.00,
36,7/5/13,4325,0.00,90.80,60.60,-2.70,144.00,
37,8/5/13,4351,0.00,92.10,59.80,-1.10,353.00,
38,9/5/13,4488,0.00,93.00,66.00,-5.20,77.00,
39,10/5/13,4554,0.00,94.80,65.20,-1.10,282.00,
40,11/5/13,4547,4.00,96.60,68.30,-4.80,93.00,
41,12/5/13,4151,0.00,88.30,60.70,-2.80,297.00,
42,13/05/13,3775,3.00,79.70,59.80,-3.40,440.00,
43,14/05/13,4155,0.00,86.90,65.50,-3.30,132.00,
44,15/05/13,4361,0.00,89.80,66.00,-3.60,244.00,
45,16/05/13,4435,0.00,92.20,65.70,-3.80,122.00,
46,17/05/13,4521,0.00,94.40,67.70,-3.70,52.00,
47,18/05/13,4578,0.00,95.50,67.90,-2.40,126.00,
48,19/05/13,4381,15.00,93.70,67.40,-4.90,149.00,
49,20/05/13,4384,4.00,92.60,65.90,-2.70,154.00,
50,21/05/13,4713,6.00,99.60,74.70,-4.00,194.00,
51,22/05/13,4892,0.00,101.30,75.90,-4.20,133.00,
52,23/05/13,4895,0.00,101.80,74.90,-4.00,368.00,
53,24/05/13,4996,34.00,104.90,78.30,-3.20,229.00,
54,25/05/13,5173,3.00,107.70,79.60,-3.00,203.00,
55,26/05/13,4906,45.00,105.30,78.60,-3.80,97.00,
56,27/05/13,4739,0.00,100.00,76.20,-5.50,0.00,
57,28/05/13,5198,0.00,108.40,81.50,-3.50,195.00,
58,29/05/13,5001,0.00,105.80,78.30,-3.00,134.00,
59,30/05/13,4981,0.00,104.50,79.20,-4.70,119.00,
60,1/6/13,4822,0.00,104.70,74.20,-1.30,330.00,
61,2/6/13,4490,2.00,96.20,70.80,-4.00,35.00,
62,3/6/13,4510,0.00,89.10,65.50,-3.40,152.00,
63,5/6/13,5010,0.00,104.70,77.00,-2.60,60.00,
64,6/6/13,5161,0.00,109.20,81.40,-0.10,327.00,
65,7/6/13,5567,0.00,106.10,78.20,-1.70,568.00,
66,8/6/13,5091,0.00,104.40,79.50,0.70,419.00,
67,9/6/13,5052,4.00,107.00,82.90,-1.90,157.00,
68,10/6/13,4908,4.00,103.00,80.30,-1.40,145.00,
69,11/6/13,5139,0.00,109.60,83.40,-0.70,204.00,
70,12/6/13,4838,0.00,103.80,79.40,-4.10,103.00,
71,13/06/13,5045,0.00,104.20,81.70,-3.10,156.00,
72,14/06/13,4698,29.00,97.80,75.90,-2.50,178.00,
73,15/06/13,4640,0.00,97.60,77.70,-3.50,312.00,
74,16/06/13,4367,4.00,89.30,70.90,-2.70,251.00,
75,17/06/13,3591,17.00,75.00,63.10,-5.50,253.00,
76,18/06/13,3637,12.00,76.10,66.30,-5.40,120.00,
77,19/06/13,3852,14.00,81.10,66.70,-2.70,384.00,
78,20/06/13,4118,0.00,86.50,70.00,-4.40,120.00,
79,21/06/13,4581,0.00,94.10,74.80,-3.50,207.00,
80,22/06/13,4812,0.00,103.30,79.50,-2.10,303.00,
81,23/06/13,4791,0.00,100.40,81.70,-5.20,150.00,
82,24/06/13,4900,20.00,102.90,80.30,-3.60,168.00,
83,25/06/13,5364,0.00,109.50,80.80,-1.50,288.00,
84,26/06/13,4999,0.00,105.20,77.60,-3.90,81.00,
85,27/06/13,4867,0.00,102.20,76.00,-3.30,123.00,
86,28/06/13,5048,7.00,104.10,76.30,-3.30,415.00,
87,30/06/13,4837,0.00,100.00,69.80,1.70,507.00,
88,1/7/13,4721,120.00,96.60,69.60,0.20,382.00,
89,2/7/13,5070,0.00,106.30,83.50,-4.40,148.00,
90,3/7/13,5338,0.00,110.30,83.80,-2.60,382.00,
91,4/7/13,5077,0.00,106.30,83.00,-4.10,224.00,
92,5/7/13,5197,2.00,108.20,85.00,-4.90,85.00,
93,6/7/13,5181,124.00,108.60,86.40,-7.00,120.00,
94,7/7/13,4743,0.00,103.10,75.20,-0.10,410.00,
95,8/7/13,4648,0.00,97.00,72.90,-3.00,140.00,
96,9/7/13,4958,0.00,101.70,76.00,-2.90,192.00,
97,10/7/13,4786,0.00,93.80,70.80,-4.40,122.00,
98,11/7/13,4488,0.00,93.00,71.90,-3.20,173.00,
99,12/7/13,4760,0.00,99.00,75.30,-2.00,102.00,
100,13/07/13,4580,8.00,97.90,76.20,-2.00,272.00,
101,14/07/13,4571,0.00,97.70,78.60,-0.30,227.00,
102,15/07/13,4396,13.00,96.00,77.20,-0.50,329.00,
103,16/07/13,4948,62.00,102.40,79.10,1.50,274.00,
104,17/07/13,4796,2.00,103.70,82.90,-3.10,102.00,
105,18/07/13,4974,0.00,103.90,83.00,-1.60,227.00,
106,19/07/13,5053,48.00,104.00,84.10,-1.00,168.00,
107,20/07/13,5020,0.00,104.00,85.50,-2.80,65.00,
108,21/07/13,4318,0.00,85.90,72.10,-6.10,95.00,
109,22/07/13,4251,0.00,82.70,66.90,-3.00,199.00,
110,23/07/13,4323,0.00,92.40,77.00,-3.90,162.00,
111,24/07/13,4683,8.00,96.70,79.30,-2.60,196.00,
112,25/07/13,4949,0.00,100.20,81.60,-2.50,362.00,
113,26/07/13,4561,0.00,94.50,78.50,-3.50,220.00,
114,27/07/13,4606,0.00,95.00,80.90,-4.70,32.00,
115,29/07/13,4675,0.00,93.70,77.40,-0.20,286.00,
116,30/07/13,4932,0.00,102.60,85.30,-1.10,300.00,
117,31/07/13,4828,131.00,102.50,83.10,-2.10,168.00,
118,1/8/13,4508,0.00,96.90,78.70,-3.90,201.00,
119,2/8/13,4646,1.00,97.10,78.90,-2.90,158.00,
120,3/8/13,4783,0.00,102.10,81.90,-1.60,277.00,
121,4/8/13,4709,0.00,97.80,76.70,-3.10,269.00,
122,5/8/13,4853,0.00,94.40,74.60,-3.20,83.00,
123,6/8/13,4649,75.00,103.50,71.80,2.50,361.00,
124,7/8/13,4197,5.00,94.00,68.20,-5.70,28.00,
125,8/8/13,4218,0.00,90.80,68.00,-5.60,145.00,
126,9/8/13,4160,20.00,89.90,66.30,-2.40,68.00,
127,10/8/13,3665,0.00,81.50,60.10,-4.00,162.00,
128,11/8/13,3881,0.00,82.40,61.40,-1.70,165.00,
129,12/8/13,4075,0.00,82.40,59.20,-0.70,323.00,
130,13/08/13,4405,0.00,97.30,69.70,-1.00,187.00,
131,14/08/13,4341,0.00,93.30,70.30,-1.50,228.00,
132,16/08/13,3756,0.00,73.40,64.10,-9.40,0.00,
133,17/08/13,4090,0.00,83.80,65.40,-1.70,185.00,
134,18/08/13,3783,0.00,81.60,60.40,-2.90,147.00,
135,19/08/13,3772,0.00,79.90,58.00,-2.20,123.00,
136,20/08/13,4081,0.00,86.30,66.40,-2.10,208.00,
137,21/08/13,3811,0.00,80.60,62.60,-0.80,336.00,
138,22/08/13,4167,0.00,86.10,67.70,-0.90,202.00,
139,23/08/13,4154,0.00,88.30,71.10,-1.70,169.00,
140,24/08/13,4447,205.00,92.80,74.20,0.30,376.00,
141,25/08/13,4542,205.00,95.30,76.10,0.10,326.00,
142,26/08/13,4500,5.00,93.10,76.20,-2.10,236.00,
143,27/08/13,4930,0.00,101.80,80.80,0.30,334.00,
144,28/08/13,4859,0.00,104.40,78.80,-1.80,259.00,
145,31/08/13,4426,0.00,97.00,74.60,-2.50,269.00,
146,1/9/13,4229,0.00,91.80,70.60,-2.30,203.00,
147,2/9/13,4415,0.00,88.70,67.10,-2.40,245.00,
148,3/9/13,4691,0.00,97.70,75.70,-2.20,129.00,
149,4/9/13,4690,0.00,97.30,76.50,-3.00,65.00,
150,5/9/13,4574,42.00,97.10,73.70,-0.80,134.00,
151,6/9/13,4637,29.00,98.10,74.30,-0.30,274.00,
152,7/9/13,4644,0.00,98.00,74.20,-0.90,173.00,
153,8/9/13,4531,0.00,94.60,72.50,-1.90,131.00,
154,9/9/13,4251,0.00,89.80,66.20,-2.50,90.00,
155,10/9/13,4373,0.00,94.80,73.80,-3.10,140.00,
156,11/9/13,4659,0.00,96.80,75.80,-4.20,120.00,
157,12/9/13,4788,0.00,98.90,74.00,-0.30,232.00,
158,13/09/13,4685,0.00,101.40,77.10,-1.90,184.00,
159,14/09/13,4750,0.00,102.90,77.90,-2.80,72.00,
160,16/09/13,4504,0.00,94.40,66.60,0.10,490.00,
161,17/09/13,4461,0.00,96.80,69.80,-3.40,88.00,
162,18/09/13,4374,6.00,93.90,66.80,-3.60,80.00,
163,19/09/13,4430,0.00,94.70,68.00,-3.80,125.00,
164,20/09/13,4556,0.00,96.80,65.70,-0.90,186.00,
165,22/09/13,3982,0.00,83.70,59.60,-5.90,173.00,
166,23/09/13,3953,5.00,78.80,53.60,-0.30,253.00,
167,25/09/13,4544,0.00,96.40,70.20,-1.70,384.00,
168,26/09/13,4348,0.00,94.00,69.00,-2.10,147.00,
169,27/09/13,4310,0.00,92.90,69.90,-1.00,200.00,
170,28/09/13,4449,0.00,92.00,67.40,1.20,274.00,
171,29/09/13,4197,0.00,88.20,67.90,1.10,259.00,
172,30/09/13,3901,0.00,84.10,66.50,-2.60,125.00,
173,1/10/13,4079,0.00,84.50,66.80,-2.50,139.00,
174,2/10/13,4136,0.00,86.30,65.30,-1.30,308.00,
175,3/10/13,3570,0.00,73.10,57.50,-1.20,114.00,
176,4/10/13,4111,0.00,83.80,67.10,-1.50,164.00,
177,5/10/13,3743,0.00,77.70,62.90,-3.40,183.00,
178,6/10/13,3829,0.00,76.90,56.40,3.40,332.00,
179,7/10/13,3758,0.00,76.90,57.40,-0.20,139.00,
180,8/10/13,4053,31.00,85.90,64.30,3.70,474.00,
181,9/10/13,4199,0.00,89.20,62.40,5.10,416.00,
182,10/10/13,4226,0.00,90.30,62.80,1.60,264.00,
183,11/10/13,4274,0.00,91.00,63.10,1.30,314.00,
184,12/10/13,3677,0.00,76.20,57.00,-3.20,215.00,
185,13/10/13,3690,0.00,72.90,55.50,-0.20,289.00,
186,14/10/13,3053,0.00,66.50,50.70,-1.30,118.00,
187,15/10/13,3917,0.00,76.80,56.00,1.70,320.00,
188,17/10/13,3803,0.00,75.80,54.00,4.30,506.00,
189,18/10/13,3930,0.00,78.50,58.60,0.80,258.00,
190,19/10/13,3957,0.00,79.60,61.10,-0.50,312.00,
191,20/10/13,3664,0.00,73.40,55.50,-2.70,59.00,
192,21/10/13,3312,10.00,66.80,48.70,-2.80,92.00,
193,22/10/13,3635,0.00,70.60,50.50,-1.80,212.00,
194,23/10/13,3552,0.00,70.10,49.90,-2.70,153.00,
195,24/10/13,3618,0.00,70.50,50.70,-0.30,185.00,
196,25/10/13,3688,0.00,71.00,51.30,-0.80,164.00,
197,26/10/13,3653,0.00,69.60,51.60,-1.80,207.00,
198,27/10/13,3382,0.00,64.70,48.50,-2.00,371.00,
199,28/10/13,3149,2.00,61.00,43.60,-0.70,88.00,
200,29/10/13,3404,0.00,64.60,46.70,-1.50,268.00,
201,30/10/13,3600,0.00,65.30,46.10,-0.50,318.00,
202,31/10/13,3515,0.00,63.40,45.20,-2.00,243.00,
203,1/11/13,3543,0.00,65.40,47.40,-0.20,235.00,
204,2/11/13,3546,0.00,66.20,47.60,-0.50,191.00,
205,3/11/13,3246,0.00,61.70,46.60,-2.90,250.00,
206,4/11/13,2926,0.00,53.70,36.60,-1.10,365.00,
207,5/11/13,2807,0.00,51.90,37.80,-3.10,235.00,
208,6/11/13,2959,0.00,55.10,42.10,-2.80,327.00,
209,7/11/13,3205,0.00,58.50,42.10,0.10,581.00,
210,8/11/13,3184,0.00,59.80,42.90,0.00,260.00,
211,9/11/13,3088,0.00,56.80,41.80,-1.40,512.00,
212,10/11/13,3008,0.00,56.10,41.20,-1.10,220.00,
213,11/11/13,2851,0.00,53.80,40.00,-0.50,386.00,
214,12/11/13,3177,0.00,57.10,42.40,0.40,500.00,
215,13/11/13,3120,0.00,57.60,43.50,-0.50,380.00,
216,14/11/13,3100,0.00,57.90,43.60,-0.60,391.00,
217,15/11/13,3161,0.00,56.70,42.90,-1.60,337.00,
218,16/11/13,3180,0.00,57.80,41.10,1.40,407.00,
219,17/11/13,2952,0.00,56.10,40.10,1.00,289.00,
220,18/11/13,3016,0.00,54.30,39.90,-0.80,351.00,
221,19/11/13,3095,0.00,57.60,42.10,0.90,330.00,
222,20/11/13,3095,0.00,58.10,44.40,-1.10,362.00,
223,21/11/13,3065,2.00,57.70,41.80,0.20,417.00,
224,22/11/13,3166,0.00,57.30,41.80,-1.30,373.00,
225,23/11/13,3132,0.00,58.60,40.40,0.50,212.00,
226,24/11/13,2998,0.00,56.20,40.50,-1.50,192.00,
227,25/11/13,2983,0.00,53.90,39.50,-1.10,209.00,
228,26/11/13,3048,0.00,56.90,39.60,0.20,483.00,
229,27/11/13,3104,0.00,57.20,41.30,-1.00,268.00,
230,28/11/13,3097,0.00,57.30,41.00,-0.30,230.00,
231,29/11/13,3178,4.00,57.00,40.40,-0.80,195.00,
232,30/11/13,3130,0.00,58.60,40.90,-1.40,295.00,
233,1/12/13,2994,0.00,55.80,36.80,-0.60,212.00,
234,2/12/13,2991,0.00,53.40,37.10,-1.90,212.00,
235,3/12/13,3050,11.00,56.50,38.10,-0.50,265.00,
236,4/12/13,3098,0.00,58.00,42.30,-2.30,214.00,
237,5/12/13,2791,0.00,50.30,35.90,-3.60,140.00,
238,6/12/13,3127,0.00,57.10,41.80,-2.20,252.00,
239,7/12/13,3208,0.00,59.10,42.30,-0.90,297.00,
240,8/12/13,3086,148.00,56.30,39.10,0.10,399.00,
241,9/12/13,3155,0.00,55.50,39.50,-0.70,298.00,
242,10/12/13,3091,1.00,57.40,41.40,-1.70,201.00,
243,11/12/13,3097,0.00,58.40,42.60,-1.70,139.00,
244,12/12/13,3170,0.00,58.60,40.80,0.00,279.00,
245,13/12/13,3200,0.00,59.20,42.30,2.20,484.00,
246,14/12/13,3263,0.00,59.80,45.40,-1.10,189.00,
247,15/12/13,3252,0.00,57.20,42.10,-0.20,279.00,
248,16/12/13,3149,0.00,55.30,40.80,-0.50,215.00,
249,17/12/13,3244,0.00,58.70,44.70,1.30,395.00,
250,18/12/13,3224,0.00,58.10,46.10,-0.20,393.00,
251,19/12/13,2892,0.00,59.30,43.60,-2.30,244.00,
252,20/12/13,3277,0.00,60.00,42.50,-0.40,268.00,
253,21/12/13,3381,0.00,60.80,40.10,1.60,315.00,
254,22/12/13,3321,0.00,58.30,36.80,0.60,387.00,
255,23/12/13,3343,0.00,57.80,39.10,-2.90,217.00,
256,24/12/13,3499,2.00,61.70,43.30,-2.00,257.00,
257,25/12/13,3342,2.00,61.50,41.60,0.00,289.00,
258,26/12/13,3484,6.00,60.80,41.70,-0.90,360.00,
259,27/12/13,3492,4.00,62.60,42.60,-0.20,262.00,
260,28/12/13,3639,0.00,64.60,43.70,1.20,302.00,
261,29/12/13,3526,0.00,61.50,43.90,-2.10,156.00,
262,30/12/13,3408,0.00,59.50,41.60,-1.30,234.00,
263,31/12/13,3665,0.00,63.10,43.20,0.10,209.00,
264,1/1/14,3711,0.00,65.20,44.60,0.60,311.00,
265,2/1/14,3811,0.00,64.90,45.10,-1.00,214.00,
266,3/1/14,3783,7.00,65.00,44.00,-1.00,213.00,
267,4/1/14,3926,0.00,67.20,45.80,-0.90,241.00,
268,5/1/14,3626,0.00,63.50,45.30,-1.80,136.00,
269,6/1/14,3588,0.00,61.80,42.60,-1.20,154.00,
270,7/1/14,3771,0.00,66.00,46.90,0.90,405.00,
271,8/1/14,3902,0.00,67.20,50.30,-1.00,303.00,
272,9/1/14,3793,0.00,66.70,50.60,-1.90,202.00,
273,10/1/14,3812,7.00,67.40,48.80,0.10,196.00,
274,11/1/14,3666,0.00,67.80,48.70,-0.90,310.00,
275,12/1/14,3713,0.00,65.80,46.20,-2.80,54.00,
276,13/01/14,3564,7.00,61.70,43.60,-2.30,111.00,
277,14/01/14,3787,0.00,65.40,46.20,-1.90,508.00,
278,15/01/14,3709,6.00,63.50,44.00,-3.10,216.00,
279,16/01/14,3815,0.00,67.60,45.30,-1.30,439.00,
280,17/01/14,3805,0.00,67.70,46.70,-1.30,713.00,
281,18/01/14,3902,0.00,69.40,47.60,-1.20,330.00,
282,19/01/14,3569,0.00,64.40,45.00,-0.80,104.00,
283,20/01/14,3726,1.00,62.90,43.00,-0.10,310.00,
284,21/01/14,3797,0.00,66.20,46.10,-1.10,401.00,
285,22/01/14,3666,7.00,67.80,46.60,-1.10,468.00,
286,23/01/14,3826,0.00,68.10,46.60,-2.40,119.00,
287,24/01/14,3720,0.00,65.60,45.10,-2.50,170.00,
288,25/01/14,3871,0.00,67.60,45.30,-0.10,461.00,
289,26/01/14,3714,0.00,66.00,44.20,-0.90,154.00,
290,27/01/14,3266,0.00,56.40,37.10,-1.50,128.00,
291,28/01/14,3580,0.00,62.40,43.50,-2.60,240.00,
292,29/01/14,3569,6.00,63.80,43.40,-0.80,411.00,
293,30/01/14,3510,0.00,63.10,44.50,-0.70,294.00,
294,31/01/14,3502,48.00,62.70,43.20,-0.60,482.00,
295,1/2/14,3722,4.00,65.50,43.00,-1.60,244.00,
296,2/2/14,3593,5.00,63.50,42.30,-1.70,271.00,
297,3/2/14,3591,0.00,59.90,39.70,-1.90,454.00,
298,4/2/14,3408,46.00,61.80,41.50,-2.50,264.00,
299,5/2/14,3432,5.00,61.60,41.80,-2.80,92.00,
300,6/2/14,3416,9.00,61.40,41.30,-2.30,429.00,
301,7/2/14,3308,0.00,60.80,41.00,-2.80,283.00,
302,8/2/14,3440,0.00,61.70,41.80,-2.60,281.00,
303,9/2/14,3451,53.00,59.70,35.80,0.00,145.00,
304,10/2/14,3433,10.00,57.70,35.30,-1.10,130.00,
305,11/2/14,3446,0.00,61.80,41.60,-0.70,457.00,
306,12/2/14,3387,0.00,60.30,41.20,-2.10,334.00,
307,13/02/14,3461,0.00,61.60,40.10,-0.10,358.00,
308,14/02/14,3460,0.00,62.30,44.30,-1.70,286.00,
309,15/02/14,3546,34.00,62.20,42.50,-0.10,364.00,
310,16/02/14,3621,22.00,62.80,44.20,-1.40,191.00,
311,17/02/14,3560,0.00,60.10,41.80,-1.60,224.00,
312,18/02/14,3616,0.00,60.70,39.80,-0.50,578.00,
313,19/02/14,3522,0.00,62.70,42.70,-1.40,196.00,
314,20/02/14,3561,29.00,62.60,42.30,-2.90,262.00,
315,21/02/14,3455,21.00,61.10,41.70,1.00,336.00,
316,22/02/14,3562,0.00,59.50,42.00,-0.70,394.00,
317,23/02/14,3351,0.00,59.90,42.50,-1.00,260.00,
318,24/02/14,3370,0.00,56.60,41.10,-2.90,218.00,
319,25/02/14,3462,13.00,59.90,42.50,-1.20,313.00,
320,26/02/14,3237,51.00,58.80,42.40,-1.10,386.00,
321,27/02/14,3279,0.00,58.90,39.70,0.70,422.00,
322,28/02/14,3362,1.00,55.80,41.20,-2.00,186.00,
323,1/3/14,3290,36.00,58.90,39.00,0.30,495.00,
324,2/3/14,3265,51.00,58.00,35.30,2.80,400.00,
325,3/3/14,3034,63.00,54.60,35.60,0.10,404.00,
326,4/3/14,3367,17.00,57.90,38.80,0.10,427.00,
327,5/3/14,3348,0.00,58.50,40.40,-0.80,273.00,
328,6/3/14,3286,0.00,58.60,40.80,-1.00,274.00,
329,7/3/14,3197,10.00,58.10,40.00,-0.50,263.00,
330,8/3/14,3295,52.00,59.20,39.80,0.20,341.00,
331,9/3/14,3043,0.00,55.90,37.10,-0.10,134.00,
332,10/3/14,3005,0.00,52.90,36.10,-1.90,131.00,
333,11/3/14,3028,38.00,56.70,39.20,-1.60,253.00,
334,12/3/14,3210,0.00,57.30,40.40,0.00,266.00,
335,13/03/14,3175,14.00,57.60,42.10,0.90,314.00,
336,14/03/14,3158,0.00,58.00,41.60,1.50,423.00,
337,15/03/14,3297,0.00,58.80,42.30,-0.80,262.00,
338,16/03/14,2992,0.00,55.80,39.90,-1.10,121.00,
339,17/03/14,2850,69.00,51.00,37.70,-1.40,117.00,
340,18/03/14,2265,0.00,43.80,32.30,-1.30,210.00,
341,19/03/14,2724,0.00,52.30,39.90,-1.70,0.00,
342,20/03/14,3000,0.00,57.10,40.80,1.00,232.00,
343,21/03/14,2995,190.00,57.70,42.60,-0.20,258.00,
344,22/03/14,3097,17.00,59.60,45.30,-1.30,147.00,
345,23/03/14,3031,0.00,58.40,43.40,-0.70,190.00,
346,24/03/14,2778,0.00,55.50,42.40,-3.10,104.00,
347,25/03/14,3077,2.00,58.10,44.10,-1.60,230.00,
348,26/03/14,3068,12.00,60.10,45.10,-1.00,174.00,
349,27/03/14,3138,23.00,61.50,46.00,-0.10,201.00,
350,28/03/14,3086,0.00,61.80,46.10,0.40,237.00,
351,29/03/14,3165,47.00,61.40,46.50,-1.40,375.00,
352,30/03/14,3078,42.00,60.30,45.60,-1.20,163.00,
353,31/03/14,2825,0.00,59.00,43.60,-2.70,22.00,
354,1/4/14,3069,0.00,60.80,48.10,-3.30,134.00,
355,2/4/14,3107,100.00,62.30,47.70,-1.20,286.00,
356,3/4/14,3177,0.00,62.90,48.00,-1.00,301.00,
357,4/4/14,3224,18.00,64.20,49.80,-1.70,177.00,
358,5/4/14,3307,0.00,65.20,51.00,-1.90,239.00,
359,6/4/14,3168,46.00,63.30,49.00,-1.50,203.00,
360,7/4/14,3155,0.00,63.40,48.40,-0.80,159.00,
361,8/4/14,3368,0.00,69.10,53.70,-0.70,122.00,
362,9/4/14,3184,0.00,65.10,52.50,-1.40,118.00,
363,10/4/14,3275,26.00,66.80,55.60,-1.60,141.00,
364,11/4/14,2724,0.00,56.40,47.60,-4.00,48.00,
365,12/4/14,3375,110.00,67.40,55.30,-0.60,173.00,
366,13/04/14,3363,0.00,67.50,55.80,-1.10,244.00,
367,14/04/14,3065,0.00,64.10,53.70,-2.50,9.00,
368,15/04/14,3369,0.00,67.90,55.40,-0.30,254.00,
369,16/04/14,3608,0.00,73.20,59.70,0.50,188.00,
370,17/04/14,3532,1.00,72.70,58.80,-0.90,153.00,
371,18/04/14,3504,0.00,72.70,57.90,-0.30,212.00,
372,19/04/14,3299,3.00,64.50,55.20,-3.10,170.00,
373,20/04/14,3245,0.00,65.70,52.90,-2.20,156.00,
374,21/04/14,3149,0.00,63.80,50.60,-1.80,124.00,
375,22/04/14,3484,0.00,70.70,55.70,-0.80,169.00,
376,23/04/14,3535,0.00,73.70,55.00,0.30,206.00,
377,24/04/14,3545,0.00,75.60,57.10,2.70,298.00,
378,25/04/14,3723,31.00,78.90,61.90,1.20,233.00,
379,26/04/14,3851,0.00,80.90,63.50,0.20,186.00,
380,27/04/14,3727,0.00,78.80,63.30,-1.70,93.00,
381,28/04/14,3602,0.00,76.30,62.60,-3.30,79.00,
382,29/04/14,4037,0.00,84.40,68.40,-0.10,208.00,
383,30/04/14,4115,0.00,87.30,69.20,1.00,210.00,
384,1/5/14,4377,0.00,90.70,72.90,-1.40,214.00,
385,2/5/14,4370,0.00,93.00,73.40,-0.90,54.00,
386,3/5/14,4593,0.00,96.20,75.10,-0.50,325.00,
387,4/5/14,4274,0.00,91.90,72.10,-2.10,132.00,
388,5/5/14,4351,0.00,86.80,68.30,-1.10,230.00,
389,6/5/14,4423,0.00,92.50,71.80,-2.90,210.00,
390,7/5/14,4369,0.00,91.90,69.70,-2.60,173.00,
391,8/5/14,4559,0.00,94.90,70.00,0.30,230.00,
392,9/5/14,4692,0.00,94.20,69.50,0.50,323.00,
393,10/5/14,4372,0.00,91.30,72.60,-1.40,212.00,
394,11/5/14,4039,0.00,87.70,68.90,-0.70,160.00,
395,12/5/14,3959,0.00,80.00,61.50,0.00,187.00,
396,13/05/14,3969,14.00,87.20,70.90,-0.20,317.00,
397,14/05/14,3804,0.00,80.60,65.50,-0.20,237.00,
398,15/05/14,3592,0.00,75.50,60.10,-1.50,168.00,
399,16/05/14,3858,0.00,81.20,62.90,1.40,397.00,
400,17/05/14,4115,0.00,86.60,69.00,0.60,243.00,
401,18/05/14,4008,0.00,85.50,67.90,0.30,122.00,
402,19/05/14,4061,7.00,82.00,63.60,1.20,208.00,
403,20/05/14,4239,0.00,89.20,71.80,-1.70,268.00,
404,21/05/14,4364,0.00,91.80,73.00,-2.00,183.00,
405,22/05/14,4478,0.00,94.40,73.50,0.00,302.00,
406,23/05/14,4663,0.00,97.20,78.10,-1.10,277.00,
407,24/05/14,4810,6.00,99.50,77.00,-1.30,208.00,
408,25/05/14,4433,0.00,93.00,74.00,-0.50,130.00,
409,26/05/14,4011,0.00,84.00,68.50,-0.20,195.00,
410,27/05/14,4389,4.00,90.10,74.60,-1.10,310.00,
411,28/05/14,4597,4.00,95.70,78.70,0.40,406.00,
412,29/05/14,4836,90.00,99.90,79.80,2.00,366.00,
413,30/05/14,4936,0.00,104.30,83.20,1.20,389.00,
414,31/05/14,5321,0.00,90.80,82.20,-10.10,300.00,
415,1/6/14,4283,0.00,90.20,76.40,-5.80,0.00,
416,2/6/14,4235,0.00,87.60,71.50,-4.70,50.00,
417,3/6/14,4594,0.00,97.00,79.30,-4.30,148.00,
418,4/6/14,4804,0.00,101.50,81.20,-1.80,310.00,
419,5/6/14,4970,0.00,104.10,80.70,1.60,401.00,
420,6/6/14,5323,28.00,107.70,83.70,-4.00,143.00,
421,7/6/14,5162,0.00,109.10,83.80,-2.60,362.00,
422,8/6/14,5026,0.00,107.30,81.70,-2.70,291.00,
