Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/14,5171.00,0.00,106.30,79.20,1.70,"359
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/15,3280.00,0.00,62.90,50.90,1.60,"265
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/17,3778.00,0.00,65.10,51.50,-0.10,329.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/22,3874.00,0.00,76.80,75.70,-0.90,131.00 ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/15,5417.00,0.00,109.60,87.50,0.40,"234
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/22,6442.00,0.00,128.90,116.70,-0.20,244.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/16,5569.00,0.00,104.90,92.20,-4.80,"163
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/21,2937.00,0.00,61.10,44.90,-1.10,15.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/18,4205.00,0.00,69.30,51.90,-0.70,273.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/18,3594.00,0.00,63.50,47.40,0.40,225.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/17,4916.00,0.00,100.50,77.60,-0.90,"210
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/20,2239.00,0.00,43.50,34.10,-1.90,106.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/14,5308.00,0.00,107.20,79.40,0.20,"389
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/19,4630.00,0.00,80.40,66.70,1.40,379.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/13,3180.00,0.00,68.60,49.40,-5.70,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/15,3237.00,106.00,58.20,42.40,0.50,"206
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/22,4626.00,0.00,72.70,60.60,-0.20,216.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/18,5338.00,0.00,100.30,81.00,-2.40,152.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/13,3127.00,0.00,57.10,41.80,-2.20,"252
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/17,3003.00,0.00,52.80,43.50,-2.50,"171
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/20,2419.00,0.00,46.10,35.40,-1.10,200.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/16,3159.00,0.00,59.60,49.40,0.20,"235
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/16,4091.00,0.00,79.40,62.20,-1.30,"179
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/17,5363.00,0.00,104.50,80.10,-0.70,158.00 ,"0.3
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/20,5610.00,0.00,107.30,95.80,-2.20,314.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/21,3244.00,0.00,58.80,47.90,-1.40,134.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/23,4588.00,0.00,73.70,63.20,0.20,294.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/21,4094.00,0.00,66.00,50.50,-1.90,188.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/19,6293.00,0.00,123.80,105.20,-0.90,225.00 ,"0.4
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/13,4508.00,0.00,96.90,78.70,-3.90,"201
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/16,4903.00,5.00,89.80,82.20,-1.10,"179
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/14,4559.00,0.00,94.90,70.00,0.30,230.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/23,3409.00,0.00,70.70,69.90,-1.70,78.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/15,3900.00,0.00,85.30,60.80,-1.10,"177
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/22,5680.00,0.00,113.90,103.20,-1.70,79.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/19,3378.00,0.00,57.50,45.10,-0.20,171.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/19,3831.00,0.00,79.50,63.90,-0.10,145.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/13,4488.00,0.00,93.00,71.90,-3.20,"173
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/18,4164.00,0.00,83.70,54.70,-1.20,147.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/18,3256.00,0.00,65.30,53.30,-0.10,150.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/22,4803.00,0.00,100.70,88.30,-1.50,214.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/15,4928.00,0.00,97.40,74.60,-1.40,"297
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/17,5204.00,0.00,101.90,87.10,-0.40,224.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/23,5051.00,0.00,97.40,92.20,-1.10,138.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/14,3851.00,0.00,80.90,63.50,0.20,"186
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/18,6326.00,0.00,122.10,95.70,-2.60,174.00 ,"1.4
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/13,3546.00,0.00,66.20,47.60,-0.50,"191
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/21,3603.00,0.00,69.20,53.50,-0.90,112.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/16,3395.00,0.00,59.90,45.30,0.70,"224
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/20,4434.00,0.00,73.40,56.50,0.60,340.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/22,4470.00,0.00,70.50,58.70,-0.60,206.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/20,3395.00,0.00,62.80,47.00,-1.00,177.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/21,5546.00,0.00,111.70,101.70,-1.50,113.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/16,4851.00,0.00,99.80,78.90,-0.40,"276
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/17,4512.00,6.00,95.70,71.40,-1.30,94.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/17,3375.00,0.00,61.10,49.40,0.90,"180
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/19,5482.00,0.00,110.50,93.10,-0.40,180.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/22,3237.00,0.00,64.20,57.40,-1.70,100.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/17,3895.00,0.00,62.50,52.30,-0.80,"242
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/23,4197.00,0.00,66.70,59.10,-1.60,178.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/12/21,4238.00,0.00,69.30,57.70,-1.10,138.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/14,3367.00,17.00,57.90,38.80,0.10,"427
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/18,4396.00,0.00,73.20,53.80,1.00,329.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/21,3215.00,0.00,68.00,52.40,-1.60,95.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/16,4925.00,0.00,102.00,83.10,-1.60,"147
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/22,5587.00,0.00,115.50,106.10,-2.10,146.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/15,4979.00,5.00,99.50,86.90,-1.40,"140
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/19,3469.00,0.00,62.00,50.90,-0.20,248.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/19,4104.00,0.00,67.70,52.00,-0.80,183.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/14,4794.00,0.00,101.30,74.80,-5.50,109.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/20,3048.00,0.00,59.50,50.70,-2.30,23.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/17,5026.00,0.00,97.90,86.40,-0.30,231.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/13,3492.00,4.00,62.60,42.60,-0.20,"262
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/22,3759.00,0.00,64.40,52.50,-1.00,184.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/15,3260.00,16.00,63.10,46.50,2.60,"286
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/22,6444.00,0.00,132.50,121.20,-1.20,184.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/16,3309.00,0.00,55.50,42.00,1.90,"253
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/14,3184.00,0.00,60.60,37.00,0.90,"327
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/15,4646.00,0.00,100.80,87.20,-1.10,"290
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/13,4081.00,0.00,86.30,66.40,-2.10,"208
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/20,4796.00,0.00,90.60,79.90,-1.90,115.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/23,4863.00,0.00,81.30,73.40,-1.60,214.00 ,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/16,2946.00,75.00,58.60,53.90,0.40,"158
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/17,4785.00,0.00,101.10,78.60,-0.90,165.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/20,3682.00,0.00,64.40,47.00,0.50,504.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/15,3264.00,0.00,55.80,42.40,-0.80,"236
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/17,3555.00,0.00,59.10,46.60,0.70,"770
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/18,5143.00,0.00,108.90,82.50,0.60,221.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/19,3889.00,0.00,78.40,62.70,-1.30,101.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/18,3809.00,0.00,64.80,52.30,-0.90,169.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/22,5463.00,0.00,113.30,100.50,-1.50,200.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/15,3270.00,1.00,69.20,50.20,1.70,"359
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/23,4395.00,0.00,93.80,87.10,-2.40,18.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/21,5275.00,0.00,100.20,91.30,-1.30,89.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/16,5583.00,0.00,110.70,93.20,-0.90,"145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/14,4836.00,90.00,99.90,79.80,2.00,"366
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/04/15,3062.00,0.00,63.30,47.30,-0.10,"155
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/22,6752.00,0.00,136.20,123.30,-1.20,231.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/18,3707.00,0.00,64.80,48.10,-1.80,168.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/18,3185.00,0.00,60.00,44.40,0.00,123.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/17,3578.00,0.00,58.80,48.20,-1.20,"169
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17,3649.00,11.00,65.70,51.70,-1.20,218.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/20,4237.00,0.00,90.80,78.40,-0.50,91.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/20,3419.00,0.00,58.80,47.30,-0.60,192.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/09/17,3899.00,0.00,83.40,66.60,-2.80,487.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/16,3897.00,0.00,75.90,60.20,0.60,"213
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/21,3756.00,0.00,64.00,52.20,-0.60,165.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/20,4474.00,0.00,96.10,84.00,-0.70,129.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/13,3957.00,0.00,79.60,61.10,-0.50,"312
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/19,5876.00,0.00,123.20,101.00,1.10,443.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/14,3209.00,0.00,61.70,41.60,-3.70,"0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/15,4845.00,0.00,101.80,88.80,-1.70,"143
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/22,6488.00,0.00,133.20,121.20,-0.80,227.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/14,4361.00,0.00,88.60,66.00,-2.20,"60
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/15,3220.00,1.00,62.10,44.70,-1.40,"139
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/20,4179.00,0.00,68.90,51.60,-0.80,266.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/18,5282.00,0.00,103.70,80.70,-0.90,262.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/17,5254.00,0.00,103.90,87.30,-1.80,165.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/14,5610.00,3.00,112.40,84.80,-1.80,"425
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/13,3534.00,0.00,76.30,56.80,-3.30,47.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/19,3922.00,0.00,64.90,48.60,-0.40,362.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/16,5047.00,0.00,104.40,88.00,-0.30,"201
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/14,5390.00,0.00,114.40,84.80,0.50,"250
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/21,3553.00,0.00,76.90,61.80,-1.80,77.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/18,3981.00,0.00,68.20,51.80,-0.40,251.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/14,3005.00,0.00,52.90,36.10,-1.90,"131
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/15,4994.00,60.00,101.30,82.10,-1.40,"125
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/22,6233.00,0.00,123.70,113.40,-1.10,130.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/21,3912.00,0.00,64.20,53.50,-2.10,325.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/23,3836.00,0.00,65.60,57.20,-1.30,174.00 ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/21,4727.00,0.00,76.20,65.60,-1.60,264.00 ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/15,3117.00,0.00,57.50,43.20,0.10,"317
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/14,5421.00,3.00,114.30,82.90,1.40,"374
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/22,2994.00,0.00,61.00,54.40,-1.90,134.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/16,4615.00,0.00,92.80,80.20,0.00,"205
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/17,4611.00,0.00,98.60,70.10,-0.20,144.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/20,3546.00,0.00,65.00,47.90,-0.20,202.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,5223.00,0.00,109.20,97.40,-1.90,77.00 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/22,4045.00,0.00,66.90,56.40,-2.00,192.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/16,2991.00,0.00,52.40,37.40,0.60,"218
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/14,3585.00,0.00,64.00,45.10,0.40,"222
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/21,3524.00,0.00,66.30,55.50,-2.00,114.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/13,3180.00,0.00,57.80,41.10,1.40,"407
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/18,5833.00,0.00,111.80,91.10,-3.00,95.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/17,5927.00,0.00,119.30,96.70,-1.10,264.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/20,5414.00,0.00,97.80,89.90,-2.20,240.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/09/19,6334.00,0.00,132.60,110.60,-0.60,173.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/18,3966.00,0.00,79.60,60.90,0.10,133.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/13,5197.00,2.00,108.20,85.00,-4.90,"85
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/19,3819.00,0.00,65.00,61.10,-1.40,140.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/22,6173.00,0.00,133.00,120.60,-0.50,205.00 ,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/15,4447.00,0.00,80.90,70.90,-0.90,"379
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/19,4691.00,0.00,78.00,66.90,0.10,280.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/14,3183.00,0.00,58.40,40.30,-1.00,"194
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/16,3387.00,0.00,59.60,43.60,1.70,"326
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/22,3767.00,0.00,74.00,65.60,-0.40,391.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/15,4251.00,0.00,90.00,78.60,1.30,"204
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/14,4347.00,0.00,91.40,68.30,-1.00,"304
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/19,4525.00,0.00,91.90,77.20,-0.70,121.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/20,3462.00,0.00,70.80,52.70,0.50,144.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/09/21,4877.00,0.00,102.60,91.70,-0.90,112.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/16,4686.00,0.00,97.90,77.80,-1.00,"169
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/17,3541.00,0.00,61.50,44.40,-0.60,225.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/21,3851.00,0.00,65.00,49.20,-1.60,147.00 ,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/23,5079.00,0.00,85.50,75.40,-2.40,278.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/20,5722.00,0.00,113.70,99.20,-2.00,85.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/17,4961.00,0.00,103.10,81.90,-1.40,174.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/16,3339.00,0.00,61.40,49.30,1.80,"260
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/19,6367.00,0.00,129.00,108.90,-0.50,195.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/18,5307.00,0.00,104.90,86.50,-3.20,5.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/13,3783.00,0.00,81.60,60.40,-2.90,"147
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/21,5357.00,0.00,100.80,91.60,-1.60,147.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/23,3812.00,0.00,77.50,77.20,-2.10,128.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/14,4039.00,0.00,87.70,68.90,-0.70,"160
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/16,5764.00,0.00,114.30,93.80,-2.40,"74
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/18,5075.00,0.00,107.50,82.90,0.30,255.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/19,3824.00,0.00,64.10,61.20,-1.00,179.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/13,4999.00,0.00,105.20,77.60,-3.90,"81
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/21,5237.00,0.00,107.70,94.30,-1.40,204.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/16,4910.00,0.00,93.90,79.10,-1.30,"239
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/15,5320.00,0.00,110.10,86.40,-0.80,"219
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/18,3446.00,0.00,67.60,56.70,-0.80,153.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/18,5665.00,0.00,102.70,92.00,-1.60,184.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/13,4675.00,0.00,93.70,77.40,-0.20,"286
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/22,4242.00,0.00,73.70,66.70,-1.80,187.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/21,5602.00,0.00,114.70,89.10,-2.10,132.00 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/17,4033.00,0.00,83.20,63.90,0.40,"166
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/16,5081.00,0.00,106.40,85.20,1.80,"334
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/21,5349.00,0.00,112.40,86.70,-0.40,232.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/20,4932.00,0.00,96.30,83.30,0.00,114.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/17,5406.00,0.00,106.60,81.80,0.30,240.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/16,3418.00,0.00,62.70,52.80,0.60,"312
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/14,3815.00,0.00,67.60,45.30,-1.30,"439
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/19,6118.00,0.00,126.40,107.00,-0.60,267.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
