Date,Max.Demand met during the day (MW)
2014-01-03,-128.0
2014-01-04,171.0
2014-01-05,-443.0
2014-01-06,262.0
2014-01-07,221.0
2014-01-08,-52.0
2014-01-09,-240.0
2014-01-10,128.0
2014-01-11,-165.0
2014-01-12,193.0
2014-01-13,-196.0
2014-01-14,372.0
2014-01-15,-301.0
2014-01-16,184.0
2014-01-17,-116.0
2014-01-18,107.0
2014-01-19,-430.0
2014-01-20,490.0
2014-01-21,-86.0
2014-01-22,-202.0
2014-01-23,291.0
2014-01-24,-266.0
2014-01-25,257.0
2014-01-26,-308.0
2014-01-27,-291.0
2014-01-28,762.0
2014-01-29,-325.0
2014-01-30,-48.0
2014-01-31,51.0
2014-02-01,228.0
2014-02-02,-349.0
2014-02-03,127.0
2014-02-04,-181.0
2014-02-05,207.0
2014-02-06,-40.0
2014-02-07,-92.0
2014-02-08,240.0
2014-02-09,-121.0
2014-02-10,-29.0
2014-02-11,31.0
2014-02-12,-72.0
2014-02-13,133.0
2014-02-14,-75.0
2014-02-15,87.0
2014-02-16,-11.0
2014-02-17,-136.0
2014-02-18,117.0
2014-02-19,-150.0
2014-02-20,133.0
2014-02-21,-145.0
2014-02-22,213.0
2014-02-23,-318.0
2014-02-24,230.0
2014-02-25,73.0
2014-02-26,-317.0
2014-02-27,267.0
2014-02-28,41.0
2014-03-01,-155.0
2014-03-02,47.0
2014-03-03,-206.0
2014-03-04,564.0
2014-03-05,-352.0
2014-03-06,-43.0
2014-03-07,-27.0
2014-03-08,187.0
2014-03-09,-350.0
2014-03-10,214.0
2014-03-11,61.0
2014-03-12,159.0
2014-03-13,-217.0
2014-03-14,18.0
2014-03-15,156.0
2014-03-16,-444.0
2014-03-17,163.0
2014-03-18,-443.0
2014-03-19,1044.0
2014-03-20,-183.0
2014-03-21,-281.0
2014-03-22,107.0
2014-03-23,-168.0
2014-03-24,-187.0
2014-03-25,552.0
2014-03-26,-308.0
2014-03-27,79.0
2014-03-28,-122.0
2014-03-29,131.0
