,Unnamed: 0,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,0,2013-01-04,2776,0.0,56.1,34.1,-0.7,158.0,0.020362053162236483
1,1,2013-02-04,3034,0.0,61.0,34.1,0.9,256.0,0.020362053162236483
2,2,2013-03-04,2991,0.0,62.1,33.1,-1.1,202.0,0.020362053162236483
3,3,2013-04-04,3125,0.0,62.0,37.7,-2.7,206.0,0.020362053162236483
4,4,2013-05-04,3160,0.0,63.0,42.0,-2.6,167.0,0.020362053162236483
5,5,2013-06-04,3153,0.0,64.6,43.5,-2.7,93.0,0.020362053162236483
6,6,2013-07-04,3055,0.0,62.6,40.3,-2.5,30.0,0.020362053162236483
7,7,2013-08-04,2993,0.0,60.1,37.2,-1.8,47.0,0.020362053162236483
8,8,2013-09-04,3328,60.0,68.4,37.2,-1.2,510.0,0.020362053162236483
9,9,2013-10-04,3314,226.0,69.9,42.8,-0.5,254.0,0.020362053162236483
10,10,2013-11-04,3513,0.0,72.7,46.7,-0.9,167.0,0.020362053162236483
11,11,2013-12-04,3491,0.0,74.7,47.3,-0.9,149.0,0.020362053162236483
12,12,2013-04-13,3511,221.0,73.1,46.0,-0.8,259.0,0.020362053162236483
13,13,2013-04-14,3153,0.0,67.5,49.4,-8.6,0.0,0.020362053162236483
14,14,2013-04-15,3180,0.0,68.6,49.4,-5.7,0.0,0.020362053162236483
15,15,2013-04-16,3558,0.0,75.3,53.4,-3.7,308.0,0.020362053162236483
16,16,2013-04-17,3646,0.0,78.6,54.6,-2.5,94.0,0.020362053162236483
17,17,2013-04-18,3658,0.0,78.4,56.0,-3.3,29.0,0.020362053162236483
18,18,2013-04-19,3751,0.0,78.6,57.9,-3.8,82.0,0.020362053162236483
19,19,2013-04-20,3534,0.0,76.3,56.8,-3.3,47.0,0.020362053162236483
20,20,2013-04-21,3592,0.0,76.5,57.2,-4.3,36.0,0.020362053162236483
21,21,2013-04-22,3247,0.0,71.1,52.8,-2.5,99.0,0.020362053162236483
22,22,2013-04-23,3535,0.0,74.0,55.8,-3.4,21.0,0.020362053162236483
23,23,2013-04-24,3601,0.0,77.1,54.7,-3.7,32.0,0.020362053162236483
24,24,2013-04-25,3692,0.0,78.4,53.9,-3.2,6.0,0.020362053162236483
25,25,2013-04-26,3937,0.0,83.4,58.1,-3.2,144.0,0.020362053162236483
26,26,2013-04-27,3871,0.0,83.6,58.9,-2.5,45.0,0.020362053162236483
27,27,2013-04-28,3570,0.0,79.2,51.3,-1.7,227.0,0.020362053162236483
28,28,2013-04-29,3497,0.0,74.5,48.0,-4.5,0.0,0.020362053162236483
29,29,2013-04-30,3880,3.0,81.6,54.7,-2.5,254.0,0.020362053162236483
30,30,2013-01-05,4126,0.0,86.1,57.6,-1.4,164.0,0.020362053162236483
31,31,2013-02-05,3853,0.0,82.7,56.1,-5.0,0.0,0.020362053162236483
32,32,2013-03-05,3918,0.0,83.5,55.3,-4.0,125.0,0.020362053162236483
33,33,2013-04-05,3931,0.0,85.3,57.3,-3.3,81.0,0.020362053162236483
34,34,2013-05-05,3930,0.0,83.3,58.0,-2.7,67.0,0.020362053162236483
35,35,2013-06-05,4013,0.0,80.8,54.7,-2.7,171.0,0.020362053162236483
36,36,2013-07-05,4325,0.0,90.8,60.6,-2.7,144.0,0.020362053162236483
37,37,2013-08-05,4351,0.0,92.1,59.8,-1.1,353.0,0.020362053162236483
38,38,2013-09-05,4488,0.0,93.0,66.0,-5.2,77.0,0.020362053162236483
39,39,2013-10-05,4554,0.0,94.8,65.2,-1.1,282.0,0.020362053162236483
40,40,2013-11-05,4547,4.0,96.6,68.3,-4.8,93.0,0.020362053162236483
41,41,2013-12-05,4151,0.0,88.3,60.7,-2.8,297.0,0.020362053162236483
42,42,2013-05-13,3775,3.0,79.7,59.8,-3.4,440.0,0.020362053162236483
43,43,2013-05-14,4155,0.0,86.9,65.5,-3.3,132.0,0.020362053162236483
44,44,2013-05-15,4361,0.0,89.8,66.0,-3.6,244.0,0.020362053162236483
45,45,2013-05-16,4435,0.0,92.2,65.7,-3.8,122.0,0.020362053162236483
46,46,2013-05-17,4521,0.0,94.4,67.7,-3.7,52.0,0.020362053162236483
47,47,2013-05-18,4578,0.0,95.5,67.9,-2.4,126.0,0.020362053162236483
48,48,2013-05-19,4381,15.0,93.7,67.4,-4.9,149.0,0.020362053162236483
49,49,2013-05-20,4384,4.0,92.6,65.9,-2.7,154.0,0.020362053162236483
50,50,2013-05-21,4713,6.0,99.6,74.7,-4.0,194.0,0.020362053162236483
51,51,2013-05-22,4892,0.0,101.3,75.9,-4.2,133.0,0.020362053162236483
52,52,2013-05-23,4895,0.0,101.8,74.9,-4.0,368.0,0.020362053162236483
53,53,2013-05-24,4996,34.0,104.9,78.3,-3.2,229.0,0.020362053162236483
54,54,2013-05-25,5173,3.0,107.7,79.6,-3.0,203.0,0.020362053162236483
55,55,2013-05-26,4906,45.0,105.3,78.6,-3.8,97.0,0.020362053162236483
56,56,2013-05-27,4739,0.0,100.0,76.2,-5.5,0.0,0.020362053162236483
57,57,2013-05-28,5198,0.0,108.4,81.5,-3.5,195.0,0.020362053162236483
58,58,2013-05-29,5001,0.0,105.8,78.3,-3.0,134.0,0.020362053162236483
59,59,2013-05-30,4981,0.0,104.5,79.2,-4.7,119.0,0.020362053162236483
60,60,2013-01-06,4822,0.0,104.7,74.2,-1.3,330.0,0.020362053162236483
61,61,2013-02-06,4490,2.0,96.2,70.8,-4.0,35.0,0.020362053162236483
62,62,2013-03-06,4510,0.0,89.1,65.5,-3.4,152.0,0.020362053162236483
63,63,2013-05-06,5010,0.0,104.7,77.0,-2.6,60.0,0.020362053162236483
64,64,2013-06-06,5161,0.0,109.2,81.4,-0.1,327.0,0.020362053162236483
65,65,2013-07-06,5567,0.0,106.1,78.2,-1.7,568.0,0.020362053162236483
66,66,2013-08-06,5091,0.0,104.4,79.5,0.7,419.0,0.020362053162236483
67,67,2013-09-06,5052,4.0,107.0,82.9,-1.9,157.0,0.020362053162236483
68,68,2013-10-06,4908,4.0,103.0,80.3,-1.4,145.0,0.020362053162236483
69,69,2013-11-06,5139,0.0,109.6,83.4,-0.7,204.0,0.020362053162236483
70,70,2013-12-06,4838,0.0,103.8,79.4,-4.1,103.0,0.020362053162236483
71,71,2013-06-13,5045,0.0,104.2,81.7,-3.1,156.0,0.020362053162236483
72,72,2013-06-14,4698,29.0,97.8,75.9,-2.5,178.0,0.020362053162236483
73,73,2013-06-15,4640,0.0,97.6,77.7,-3.5,312.0,0.020362053162236483
74,74,2013-06-16,4367,4.0,89.3,70.9,-2.7,251.0,0.020362053162236483
75,75,2013-06-17,3591,17.0,75.0,63.1,-5.5,253.0,0.020362053162236483
76,76,2013-06-18,3637,12.0,76.1,66.3,-5.4,120.0,0.020362053162236483
77,77,2013-06-19,3852,14.0,81.1,66.7,-2.7,384.0,0.020362053162236483
78,78,2013-06-20,4118,0.0,86.5,70.0,-4.4,120.0,0.020362053162236483
79,79,2013-06-21,4581,0.0,94.1,74.8,-3.5,207.0,0.020362053162236483
80,80,2013-06-22,4812,0.0,103.3,79.5,-2.1,303.0,0.020362053162236483
81,81,2013-06-23,4791,0.0,100.4,81.7,-5.2,150.0,0.020362053162236483
82,82,2013-06-24,4900,20.0,102.9,80.3,-3.6,168.0,0.020362053162236483
83,83,2013-06-25,5364,0.0,109.5,80.8,-1.5,288.0,0.020362053162236483
84,84,2013-06-26,4999,0.0,105.2,77.6,-3.9,81.0,0.020362053162236483
85,85,2013-06-27,4867,0.0,102.2,76.0,-3.3,123.0,0.020362053162236483
86,86,2013-06-28,5048,7.0,104.1,76.3,-3.3,415.0,0.020362053162236483
87,87,2013-06-30,4837,0.0,100.0,69.8,1.7,507.0,0.020362053162236483
88,88,2013-01-07,4721,120.0,96.6,69.6,0.2,382.0,0.020362053162236483
89,89,2013-02-07,5070,0.0,106.3,83.5,-4.4,148.0,0.020362053162236483
90,90,2013-03-07,5338,0.0,110.3,83.8,-2.6,382.0,0.020362053162236483
91,91,2013-04-07,5077,0.0,106.3,83.0,-4.1,224.0,0.020362053162236483
92,92,2013-05-07,5197,2.0,108.2,85.0,-4.9,85.0,0.020362053162236483
93,93,2013-06-07,5181,124.0,108.6,86.4,-7.0,120.0,0.020362053162236483
94,94,2013-07-07,4743,0.0,103.1,75.2,-0.1,410.0,0.020362053162236483
95,95,2013-08-07,4648,0.0,97.0,72.9,-3.0,140.0,0.020362053162236483
96,96,2013-09-07,4958,0.0,101.7,76.0,-2.9,192.0,0.020362053162236483
97,97,2013-10-07,4786,0.0,93.8,70.8,-4.4,122.0,0.020362053162236483
98,98,2013-11-07,4488,0.0,93.0,71.9,-3.2,173.0,0.020362053162236483
99,99,2013-12-07,4760,0.0,99.0,75.3,-2.0,102.0,0.020362053162236483
100,100,2013-07-13,4580,8.0,97.9,76.2,-2.0,272.0,0.020362053162236483
101,101,2013-07-14,4571,0.0,97.7,78.6,-0.3,227.0,0.020362053162236483
102,102,2013-07-15,4396,13.0,96.0,77.2,-0.5,329.0,0.020362053162236483
103,103,2013-07-16,4948,62.0,102.4,79.1,1.5,274.0,0.020362053162236483
104,104,2013-07-17,4796,2.0,103.7,82.9,-3.1,102.0,0.020362053162236483
105,105,2013-07-18,4974,0.0,103.9,83.0,-1.6,227.0,0.020362053162236483
106,106,2013-07-19,5053,48.0,104.0,84.1,-1.0,168.0,0.020362053162236483
107,107,2013-07-20,5020,0.0,104.0,85.5,-2.8,65.0,0.020362053162236483
108,108,2013-07-21,4318,0.0,85.9,72.1,-6.1,95.0,0.020362053162236483
109,109,2013-07-22,4251,0.0,82.7,66.9,-3.0,199.0,0.020362053162236483
110,110,2013-07-23,4323,0.0,92.4,77.0,-3.9,162.0,0.020362053162236483
111,111,2013-07-24,4683,8.0,96.7,79.3,-2.6,196.0,0.020362053162236483
112,112,2013-07-25,4949,0.0,100.2,81.6,-2.5,362.0,0.020362053162236483
113,113,2013-07-26,4561,0.0,94.5,78.5,-3.5,220.0,0.020362053162236483
114,114,2013-07-27,4606,0.0,95.0,80.9,-4.7,32.0,0.020362053162236483
115,115,2013-07-29,4675,0.0,93.7,77.4,-0.2,286.0,0.020362053162236483
116,116,2013-07-30,4932,0.0,102.6,85.3,-1.1,300.0,0.020362053162236483
117,117,2013-07-31,4828,131.0,102.5,83.1,-2.1,168.0,0.020362053162236483
118,118,2013-01-08,4508,0.0,96.9,78.7,-3.9,201.0,0.020362053162236483
119,119,2013-02-08,4646,1.0,97.1,78.9,-2.9,158.0,0.020362053162236483
120,120,2013-03-08,4783,0.0,102.1,81.9,-1.6,277.0,0.020362053162236483
121,121,2013-04-08,4709,0.0,97.8,76.7,-3.1,269.0,0.020362053162236483
122,122,2013-05-08,4853,0.0,94.4,74.6,-3.2,83.0,0.020362053162236483
123,123,2013-06-08,4649,75.0,103.5,71.8,2.5,361.0,0.020362053162236483
124,124,2013-07-08,4197,5.0,94.0,68.2,-5.7,28.0,0.020362053162236483
125,125,2013-08-08,4218,0.0,90.8,68.0,-5.6,145.0,0.020362053162236483
126,126,2013-09-08,4160,20.0,89.9,66.3,-2.4,68.0,0.020362053162236483
127,127,2013-10-08,3665,0.0,81.5,60.1,-4.0,162.0,0.020362053162236483
128,128,2013-11-08,3881,0.0,82.4,61.4,-1.7,165.0,0.020362053162236483
129,129,2013-12-08,4075,0.0,82.4,59.2,-0.7,323.0,0.020362053162236483
130,130,2013-08-13,4405,0.0,97.3,69.7,-1.0,187.0,0.020362053162236483
131,131,2013-08-14,4341,0.0,93.3,70.3,-1.5,228.0,0.020362053162236483
132,132,2013-08-16,3756,0.0,73.4,64.1,-9.4,0.0,0.020362053162236483
133,133,2013-08-17,4090,0.0,83.8,65.4,-1.7,185.0,0.020362053162236483
134,134,2013-08-18,3783,0.0,81.6,60.4,-2.9,147.0,0.020362053162236483
135,135,2013-08-19,3772,0.0,79.9,58.0,-2.2,123.0,0.020362053162236483
136,136,2013-08-20,4081,0.0,86.3,66.4,-2.1,208.0,0.020362053162236483
137,137,2013-08-21,3811,0.0,80.6,62.6,-0.8,336.0,0.020362053162236483
138,138,2013-08-22,4167,0.0,86.1,67.7,-0.9,202.0,0.020362053162236483
139,139,2013-08-23,4154,0.0,88.3,71.1,-1.7,169.0,0.020362053162236483
140,140,2013-08-24,4447,205.0,92.8,74.2,0.3,376.0,0.020362053162236483
141,141,2013-08-25,4542,205.0,95.3,76.1,0.1,326.0,0.020362053162236483
142,142,2013-08-26,4500,5.0,93.1,76.2,-2.1,236.0,0.020362053162236483
143,143,2013-08-27,4930,0.0,101.8,80.8,0.3,334.0,0.020362053162236483
144,144,2013-08-28,4859,0.0,104.4,78.8,-1.8,259.0,0.020362053162236483
145,145,2013-08-31,4426,0.0,97.0,74.6,-2.5,269.0,0.020362053162236483
146,146,2013-01-09,4229,0.0,91.8,70.6,-2.3,203.0,0.020362053162236483
147,147,2013-02-09,4415,0.0,88.7,67.1,-2.4,245.0,0.020362053162236483
148,148,2013-03-09,4691,0.0,97.7,75.7,-2.2,129.0,0.020362053162236483
149,149,2013-04-09,4690,0.0,97.3,76.5,-3.0,65.0,0.020362053162236483
150,150,2013-05-09,4574,42.0,97.1,73.7,-0.8,134.0,0.020362053162236483
151,151,2013-06-09,4637,29.0,98.1,74.3,-0.3,274.0,0.020362053162236483
152,152,2013-07-09,4644,0.0,98.0,74.2,-0.9,173.0,0.020362053162236483
153,153,2013-08-09,4531,0.0,94.6,72.5,-1.9,131.0,0.020362053162236483
154,154,2013-09-09,4251,0.0,89.8,66.2,-2.5,90.0,0.020362053162236483
155,155,2013-10-09,4373,0.0,94.8,73.8,-3.1,140.0,0.020362053162236483
156,156,2013-11-09,4659,0.0,96.8,75.8,-4.2,120.0,0.020362053162236483
157,157,2013-12-09,4788,0.0,98.9,74.0,-0.3,232.0,0.020362053162236483
158,158,2013-09-13,4685,0.0,101.4,77.1,-1.9,184.0,0.020362053162236483
159,159,2013-09-14,4750,0.0,102.9,77.9,-2.8,72.0,0.020362053162236483
160,160,2013-09-16,4504,0.0,94.4,66.6,0.1,490.0,0.020362053162236483
161,161,2013-09-17,4461,0.0,96.8,69.8,-3.4,88.0,0.020362053162236483
162,162,2013-09-18,4374,6.0,93.9,66.8,-3.6,80.0,0.020362053162236483
163,163,2013-09-19,4430,0.0,94.7,68.0,-3.8,125.0,0.020362053162236483
164,164,2013-09-20,4556,0.0,96.8,65.7,-0.9,186.0,0.020362053162236483
165,165,2013-09-22,3982,0.0,83.7,59.6,-5.9,173.0,0.020362053162236483
166,166,2013-09-23,3953,5.0,78.8,53.6,-0.3,253.0,0.020362053162236483
167,167,2013-09-25,4544,0.0,96.4,70.2,-1.7,384.0,0.020362053162236483
168,168,2013-09-26,4348,0.0,94.0,69.0,-2.1,147.0,0.020362053162236483
169,169,2013-09-27,4310,0.0,92.9,69.9,-1.0,200.0,0.020362053162236483
170,170,2013-09-28,4449,0.0,92.0,67.4,1.2,274.0,0.020362053162236483
171,171,2013-09-29,4197,0.0,88.2,67.9,1.1,259.0,0.020362053162236483
172,172,2013-09-30,3901,0.0,84.1,66.5,-2.6,125.0,0.020362053162236483
173,173,2013-01-10,4079,0.0,84.5,66.8,-2.5,139.0,0.020362053162236483
174,174,2013-02-10,4136,0.0,86.3,65.3,-1.3,308.0,0.020362053162236483
175,175,2013-03-10,3570,0.0,73.1,57.5,-1.2,114.0,0.020362053162236483
176,176,2013-04-10,4111,0.0,83.8,67.1,-1.5,164.0,0.020362053162236483
177,177,2013-05-10,3743,0.0,77.7,62.9,-3.4,183.0,0.020362053162236483
178,178,2013-06-10,3829,0.0,76.9,56.4,3.4,332.0,0.020362053162236483
179,179,2013-07-10,3758,0.0,76.9,57.4,-0.2,139.0,0.020362053162236483
180,180,2013-08-10,4053,31.0,85.9,64.3,3.7,474.0,0.020362053162236483
181,181,2013-09-10,4199,0.0,89.2,62.4,5.1,416.0,0.020362053162236483
182,182,2013-10-10,4226,0.0,90.3,62.8,1.6,264.0,0.020362053162236483
183,183,2013-11-10,4274,0.0,91.0,63.1,1.3,314.0,0.020362053162236483
184,184,2013-12-10,3677,0.0,76.2,57.0,-3.2,215.0,0.020362053162236483
185,185,2013-10-13,3690,0.0,72.9,55.5,-0.2,289.0,0.020362053162236483
186,186,2013-10-14,3053,0.0,66.5,50.7,-1.3,118.0,0.020362053162236483
187,187,2013-10-15,3917,0.0,76.8,56.0,1.7,320.0,0.020362053162236483
188,188,2013-10-17,3803,0.0,75.8,54.0,4.3,506.0,0.020362053162236483
189,189,2013-10-18,3930,0.0,78.5,58.6,0.8,258.0,0.020362053162236483
190,190,2013-10-19,3957,0.0,79.6,61.1,-0.5,312.0,0.020362053162236483
191,191,2013-10-20,3664,0.0,73.4,55.5,-2.7,59.0,0.020362053162236483
192,192,2013-10-21,3312,10.0,66.8,48.7,-2.8,92.0,0.020362053162236483
193,193,2013-10-22,3635,0.0,70.6,50.5,-1.8,212.0,0.020362053162236483
194,194,2013-10-23,3552,0.0,70.1,49.9,-2.7,153.0,0.020362053162236483
195,195,2013-10-24,3618,0.0,70.5,50.7,-0.3,185.0,0.020362053162236483
196,196,2013-10-25,3688,0.0,71.0,51.3,-0.8,164.0,0.020362053162236483
197,197,2013-10-26,3653,0.0,69.6,51.6,-1.8,207.0,0.020362053162236483
198,198,2013-10-27,3382,0.0,64.7,48.5,-2.0,371.0,0.020362053162236483
199,199,2013-10-28,3149,2.0,61.0,43.6,-0.7,88.0,0.020362053162236483
200,200,2013-10-29,3404,0.0,64.6,46.7,-1.5,268.0,0.020362053162236483
201,201,2013-10-30,3600,0.0,65.3,46.1,-0.5,318.0,0.020362053162236483
202,202,2013-10-31,3515,0.0,63.4,45.2,-2.0,243.0,0.020362053162236483
203,203,2013-01-11,3543,0.0,65.4,47.4,-0.2,235.0,0.020362053162236483
204,204,2013-02-11,3546,0.0,66.2,47.6,-0.5,191.0,0.020362053162236483
205,205,2013-03-11,3246,0.0,61.7,46.6,-2.9,250.0,0.020362053162236483
206,206,2013-04-11,2926,0.0,53.7,36.6,-1.1,365.0,0.020362053162236483
207,207,2013-05-11,2807,0.0,51.9,37.8,-3.1,235.0,0.020362053162236483
208,208,2013-06-11,2959,0.0,55.1,42.1,-2.8,327.0,0.020362053162236483
209,209,2013-07-11,3205,0.0,58.5,42.1,0.1,581.0,0.020362053162236483
210,210,2013-08-11,3184,0.0,59.8,42.9,0.0,260.0,0.020362053162236483
211,211,2013-09-11,3088,0.0,56.8,41.8,-1.4,512.0,0.020362053162236483
212,212,2013-10-11,3008,0.0,56.1,41.2,-1.1,220.0,0.020362053162236483
213,213,2013-11-11,2851,0.0,53.8,40.0,-0.5,386.0,0.020362053162236483
214,214,2013-12-11,3177,0.0,57.1,42.4,0.4,500.0,0.020362053162236483
215,215,2013-11-13,3120,0.0,57.6,43.5,-0.5,380.0,0.020362053162236483
216,216,2013-11-14,3100,0.0,57.9,43.6,-0.6,391.0,0.020362053162236483
217,217,2013-11-15,3161,0.0,56.7,42.9,-1.6,337.0,0.020362053162236483
218,218,2013-11-16,3180,0.0,57.8,41.1,1.4,407.0,0.020362053162236483
219,219,2013-11-17,2952,0.0,56.1,40.1,1.0,289.0,0.020362053162236483
220,220,2013-11-18,3016,0.0,54.3,39.9,-0.8,351.0,0.020362053162236483
221,221,2013-11-19,3095,0.0,57.6,42.1,0.9,330.0,0.020362053162236483
222,222,2013-11-20,3095,0.0,58.1,44.4,-1.1,362.0,0.020362053162236483
223,223,2013-11-21,3065,2.0,57.7,41.8,0.2,417.0,0.020362053162236483
224,224,2013-11-22,3166,0.0,57.3,41.8,-1.3,373.0,0.020362053162236483
225,225,2013-11-23,3132,0.0,58.6,40.4,0.5,212.0,0.020362053162236483
226,226,2013-11-24,2998,0.0,56.2,40.5,-1.5,192.0,0.020362053162236483
227,227,2013-11-25,2983,0.0,53.9,39.5,-1.1,209.0,0.020362053162236483
228,228,2013-11-26,3048,0.0,56.9,39.6,0.2,483.0,0.020362053162236483
229,229,2013-11-27,3104,0.0,57.2,41.3,-1.0,268.0,0.020362053162236483
230,230,2013-11-28,3097,0.0,57.3,41.0,-0.3,230.0,0.020362053162236483
231,231,2013-11-29,3178,4.0,57.0,40.4,-0.8,195.0,0.020362053162236483
232,232,2013-11-30,3130,0.0,58.6,40.9,-1.4,295.0,0.020362053162236483
233,233,2013-01-12,2994,0.0,55.8,36.8,-0.6,212.0,0.020362053162236483
234,234,2013-02-12,2991,0.0,53.4,37.1,-1.9,212.0,0.020362053162236483
235,235,2013-03-12,3050,11.0,56.5,38.1,-0.5,265.0,0.020362053162236483
236,236,2013-04-12,3098,0.0,58.0,42.3,-2.3,214.0,0.020362053162236483
237,237,2013-05-12,2791,0.0,50.3,35.9,-3.6,140.0,0.020362053162236483
238,238,2013-06-12,3127,0.0,57.1,41.8,-2.2,252.0,0.020362053162236483
239,239,2013-07-12,3208,0.0,59.1,42.3,-0.9,297.0,0.020362053162236483
240,240,2013-08-12,3086,148.0,56.3,39.1,0.1,399.0,0.020362053162236483
241,241,2013-09-12,3155,0.0,55.5,39.5,-0.7,298.0,0.020362053162236483
242,242,2013-10-12,3091,1.0,57.4,41.4,-1.7,201.0,0.020362053162236483
243,243,2013-11-12,3097,0.0,58.4,42.6,-1.7,139.0,0.020362053162236483
244,244,2013-12-12,3170,0.0,58.6,40.8,0.0,279.0,0.020362053162236483
245,245,2013-12-13,3200,0.0,59.2,42.3,2.2,484.0,0.020362053162236483
246,246,2013-12-14,3263,0.0,59.8,45.4,-1.1,189.0,0.020362053162236483
247,247,2013-12-15,3252,0.0,57.2,42.1,-0.2,279.0,0.020362053162236483
248,248,2013-12-16,3149,0.0,55.3,40.8,-0.5,215.0,0.020362053162236483
249,249,2013-12-17,3244,0.0,58.7,44.7,1.3,395.0,0.020362053162236483
250,250,2013-12-18,3224,0.0,58.1,46.1,-0.2,393.0,0.020362053162236483
251,251,2013-12-19,2892,0.0,59.3,43.6,-2.3,244.0,0.020362053162236483
252,252,2013-12-20,3277,0.0,60.0,42.5,-0.4,268.0,0.020362053162236483
253,253,2013-12-21,3381,0.0,60.8,40.1,1.6,315.0,0.020362053162236483
254,254,2013-12-22,3321,0.0,58.3,36.8,0.6,387.0,0.020362053162236483
255,255,2013-12-23,3343,0.0,57.8,39.1,-2.9,217.0,0.020362053162236483
256,256,2013-12-24,3499,2.0,61.7,43.3,-2.0,257.0,0.020362053162236483
257,257,2013-12-25,3342,2.0,61.5,41.6,0.0,289.0,0.020362053162236483
258,258,2013-12-26,3484,6.0,60.8,41.7,-0.9,360.0,0.020362053162236483
259,259,2013-12-27,3492,4.0,62.6,42.6,-0.2,262.0,0.020362053162236483
260,260,2013-12-28,3639,0.0,64.6,43.7,1.2,302.0,0.020362053162236483
261,261,2013-12-29,3526,0.0,61.5,43.9,-2.1,156.0,0.020362053162236483
262,262,2013-12-30,3408,0.0,59.5,41.6,-1.3,234.0,0.020362053162236483
263,263,2013-12-31,3665,0.0,63.1,43.2,0.1,209.0,0.020362053162236483
264,264,2014-01-01,3711,0.0,65.2,44.6,0.6,311.0,0.020362053162236483
265,265,2014-02-01,3811,0.0,64.9,45.1,-1.0,214.0,0.020362053162236483
266,266,2014-03-01,3783,7.0,65.0,44.0,-1.0,213.0,0.020362053162236483
267,267,2014-04-01,3926,0.0,67.2,45.8,-0.9,241.0,0.020362053162236483
268,268,2014-05-01,3626,0.0,63.5,45.3,-1.8,136.0,0.020362053162236483
269,269,2014-06-01,3588,0.0,61.8,42.6,-1.2,154.0,0.020362053162236483
270,270,2014-07-01,3771,0.0,66.0,46.9,0.9,405.0,0.020362053162236483
271,271,2014-08-01,3902,0.0,67.2,50.3,-1.0,303.0,0.020362053162236483
272,272,2014-09-01,3793,0.0,66.7,50.6,-1.9,202.0,0.020362053162236483
273,273,2014-10-01,3812,7.0,67.4,48.8,0.1,196.0,0.020362053162236483
274,274,2014-11-01,3666,0.0,67.8,48.7,-0.9,310.0,0.020362053162236483
275,275,2014-12-01,3713,0.0,65.8,46.2,-2.8,54.0,0.020362053162236483
276,276,2014-01-13,3564,7.0,61.7,43.6,-2.3,111.0,0.020362053162236483
277,277,2014-01-14,3787,0.0,65.4,46.2,-1.9,508.0,0.020362053162236483
278,278,2014-01-15,3709,6.0,63.5,44.0,-3.1,216.0,0.020362053162236483
279,279,2014-01-16,3815,0.0,67.6,45.3,-1.3,439.0,0.020362053162236483
280,280,2014-01-17,3805,0.0,67.7,46.7,-1.3,713.0,0.020362053162236483
281,281,2014-01-18,3902,0.0,69.4,47.6,-1.2,330.0,0.020362053162236483
282,282,2014-01-19,3569,0.0,64.4,45.0,-0.8,104.0,0.020362053162236483
283,283,2014-01-20,3726,1.0,62.9,43.0,-0.1,310.0,0.020362053162236483
284,284,2014-01-21,3797,0.0,66.2,46.1,-1.1,401.0,0.020362053162236483
285,285,2014-01-22,3666,7.0,67.8,46.6,-1.1,468.0,0.020362053162236483
286,286,2014-01-23,3826,0.0,68.1,46.6,-2.4,119.0,0.020362053162236483
287,287,2014-01-24,3720,0.0,65.6,45.1,-2.5,170.0,0.020362053162236483
288,288,2014-01-25,3871,0.0,67.6,45.3,-0.1,461.0,0.020362053162236483
289,289,2014-01-26,3714,0.0,66.0,44.2,-0.9,154.0,0.020362053162236483
290,290,2014-01-27,3266,0.0,56.4,37.1,-1.5,128.0,0.020362053162236483
291,291,2014-01-28,3580,0.0,62.4,43.5,-2.6,240.0,0.020362053162236483
292,292,2014-01-29,3569,6.0,63.8,43.4,-0.8,411.0,0.020362053162236483
293,293,2014-01-30,3510,0.0,63.1,44.5,-0.7,294.0,0.020362053162236483
294,294,2014-01-31,3502,48.0,62.7,43.2,-0.6,482.0,0.020362053162236483
295,295,2014-01-02,3722,4.0,65.5,43.0,-1.6,244.0,0.020362053162236483
296,296,2014-02-02,3593,5.0,63.5,42.3,-1.7,271.0,0.020362053162236483
297,297,2014-03-02,3591,0.0,59.9,39.7,-1.9,454.0,0.020362053162236483
298,298,2014-04-02,3408,46.0,61.8,41.5,-2.5,264.0,0.020362053162236483
299,299,2014-05-02,3432,5.0,61.6,41.8,-2.8,92.0,0.020362053162236483
300,300,2014-06-02,3416,9.0,61.4,41.3,-2.3,429.0,0.020362053162236483
301,301,2014-07-02,3308,0.0,60.8,41.0,-2.8,283.0,0.020362053162236483
302,302,2014-08-02,3440,0.0,61.7,41.8,-2.6,281.0,0.020362053162236483
303,303,2014-09-02,3451,53.0,59.7,35.8,0.0,145.0,0.020362053162236483
304,304,2014-10-02,3433,10.0,57.7,35.3,-1.1,130.0,0.020362053162236483
305,305,2014-11-02,3446,0.0,61.8,41.6,-0.7,457.0,0.020362053162236483
306,306,2014-12-02,3387,0.0,60.3,41.2,-2.1,334.0,0.020362053162236483
307,307,2014-02-13,3461,0.0,61.6,40.1,-0.1,358.0,0.020362053162236483
308,308,2014-02-14,3460,0.0,62.3,44.3,-1.7,286.0,0.020362053162236483
309,309,2014-02-15,3546,34.0,62.2,42.5,-0.1,364.0,0.020362053162236483
310,310,2014-02-16,3621,22.0,62.8,44.2,-1.4,191.0,0.020362053162236483
311,311,2014-02-17,3560,0.0,60.1,41.8,-1.6,224.0,0.020362053162236483
312,312,2014-02-18,3616,0.0,60.7,39.8,-0.5,578.0,0.020362053162236483
313,313,2014-02-19,3522,0.0,62.7,42.7,-1.4,196.0,0.020362053162236483
314,314,2014-02-20,3561,29.0,62.6,42.3,-2.9,262.0,0.020362053162236483
315,315,2014-02-21,3455,21.0,61.1,41.7,1.0,336.0,0.020362053162236483
