,P,Q,AIC,BIC,MAPE_train,MAE_test,MAPE_test,MAE_test
0,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
1,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
2,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
3,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
4,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
5,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
6,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
7,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
8,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
9,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
10,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
11,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
12,3,6,51825.92764453422,51894.250969513945,26.316988681319053,179.91533241130637,20.491824185795686,179.91533241130637
